"Date","Trend"
1953-12-01,52.9645763656611
1954-01-01,52.9128040372122
1954-02-01,52.8267163127484
1954-03-01,52.7406285882846
1954-04-01,52.6198506436223
1954-05-01,52.49907269896
1954-06-01,52.296946130004
1954-07-01,52.094819561048
1954-08-01,51.9378438405824
1954-09-01,51.7808681201169
1954-10-01,51.818972787072
1954-11-01,51.8570774540272
1954-12-01,52.0365586628379
1955-01-01,52.2160398716487
1955-02-01,52.3914889489874
1955-03-01,52.5669380263261
1955-04-01,52.6063059580518
1955-05-01,52.6456738897776
1955-06-01,52.5491913367295
1955-07-01,52.4527087836815
1955-08-01,52.2609597014107
1955-09-01,52.0692106191399
1955-10-01,51.7603350440499
1955-11-01,51.4514594689599
1955-12-01,51.1292230043142
1956-01-01,50.8069865396684
1956-02-01,50.5668514145539
1956-03-01,50.3267162894394
1956-04-01,50.3557901970874
1956-05-01,50.3848641047355
1956-06-01,50.6060613787887
1956-07-01,50.827258652842
1956-08-01,51.0748146923014
1956-09-01,51.3223707317608
1956-10-01,51.6302578472733
1956-11-01,51.9381449627857
1956-12-01,52.198643649729
1957-01-01,52.4591423366722
1957-02-01,52.5706276987761
1957-03-01,52.6821130608801
1957-04-01,52.6652976330921
1957-05-01,52.6484822053042
1957-06-01,52.5434424258388
1957-07-01,52.4384026463735
1957-08-01,52.2221837504106
1957-09-01,52.0059648544476
1957-10-01,51.7326309823992
1957-11-01,51.4592971103508
1957-12-01,51.2608753447119
1958-01-01,51.0624535790731
1958-02-01,50.9671667519294
1958-03-01,50.8718799247858
1958-04-01,50.7646150145831
1958-05-01,50.6573501043804
1958-06-01,50.529693226761
1958-07-01,50.4020363491416
1958-08-01,50.42992012117
1958-09-01,50.4578038931984
1958-10-01,50.6226981393157
1958-11-01,50.7875923854329
1958-12-01,51.005621771275
1959-01-01,51.2236511571171
1959-02-01,51.4736248050025
1959-03-01,51.7235984528879
1959-04-01,52.0428775458459
1959-05-01,52.3621566388039
1959-06-01,52.6836909755672
1959-07-01,53.0052253123305
1959-08-01,53.0739025157521
1959-09-01,53.1425797191738
1959-10-01,53.0019498393803
1959-11-01,52.8613199595869
1959-12-01,52.6521707103684
1960-01-01,52.44302146115
1960-02-01,52.2338426118867
1960-03-01,52.0246637626235
1960-04-01,51.7866741240653
1960-05-01,51.5486844855071
1960-06-01,51.2528006879524
1960-07-01,50.9569168903976
1960-08-01,50.7565872536039
1960-09-01,50.5562576168101
1960-10-01,50.4501573576729
1960-11-01,50.3440570985358
1960-12-01,50.2801113356982
1961-01-01,50.2161655728605
1961-02-01,50.345477045815
1961-03-01,50.4747885187695
1961-04-01,50.7804795910355
1961-05-01,51.0861706633015
1961-06-01,51.3817039318783
1961-07-01,51.6772372004551
1961-08-01,51.8039955388503
1961-09-01,51.9307538772456
1961-10-01,52.000289808149
1961-11-01,52.0698257390525
1961-12-01,52.0287177263708
1962-01-01,51.9876097136891
1962-02-01,51.7070421794295
1962-03-01,51.4264746451699
1962-04-01,51.095376876079
1962-05-01,50.7642791069882
1962-06-01,50.4938986809043
1962-07-01,50.2235182548204
1962-08-01,50.0066481014067
1962-09-01,49.7897779479931
1962-10-01,49.6752682794136
1962-11-01,49.5607586108341
1962-12-01,49.5862125734772
1963-01-01,49.6116665361204
1963-02-01,49.72907155974
1963-03-01,49.8464765833597
1963-04-01,50.0774437041649
1963-05-01,50.3084108249702
