Date,Value
195702,34.9
195703,39.5
195704,51.9
195705,60.7
195706,72
195707,73.8
195708,69.9
195709,66.7
195710,52.1
195711,45.2
195712,36.9
195801,28.9
195802,25.3
195803,37.6
195804,51
195805,57.7
195806,65.2
195807,74.9
195808,71.6
195809,64.2
195810,52.9
195811,44.7
195812,26.4
195901,29
195902,30.4
195903,38.6
195904,51.6
195905,63.3
195906,69.6
195907,73.8
195908,74.2
195909,68.1
195910,57.5
195911,43
195912,35.5
196001,32
196002,34.2
196003,30.6
196004,53.6
196005,59.4
196006,68.8
196007,71.6
196008,72.5
196009,65.1
196010,53.5
196011,45
196012,26.5
196101,23.3
196102,32.6
196103,40
196104,46.5
196105,57.3
196106,68.6
196107,73.8
196108,72.3
196109,70.8
196110,55.9
196111,45
196112,31.8
196201,29.3
196202,28.8
196203,38.6
196204,50.2
196205,61.5
196206,69.4
196207,70.6
196208,70.2
196209,61.4
196210,54.2
196211,40
196212,28.6
196301,26.6
196302,25
196303,41.1
196304,50.1
196305,58.4
196306,68.6
196307,73.6
196308,69.8
196309,61
196310,57.2
196311,47.2
196312,27
196401,31
196402,29.3
196403,40.8
196404,47.6
196405,62.1
196406,68.5
196407,74
196408,69.6
196409,65.3
196410,51.3
196411,45.5
196412,34.3
196501,26.4
196502,30.8
196503,36.8
196504,46.9
196505,64
196506,67.8
196507,72.1
196508,71.5
196509,66.5
196510,51.8
196511,42.6
196512,35.4
196601,27.9
196602,30.3
196603,40.5
196604,45.9
196605,57.2
196606,69.9
196607,75.3
196608,73
196609,63.2
196610,52.1
196611,45
196612,33.4
196701,34.3
196702,27.4
196703,36.2
196704,49.1
196705,53.3
196706,69.8
196707,72.9
196708,71
196709,62.7
196710,53
196711,39.3
196712,34.9
196801,25
196802,27.2
196803,41.6
196804,51.6
196805,57.2
196806,68.2
196807,74.3
196808,73.4
196809,66.4
196810,56.1
196811,43.9
196812,30.9
196901,28.1
196902,30
196903,36.8
196904,52.1
196905,60.8
196906,70.1
196907,72.4
196908,73
196909,65.2
196910,53.2
196911,42.4
196912,30.9
197001,22.4
197002,30.9
197003,36
197004,48.8
197005,61.2
197006,68.1
197007,73.7
197008,73.5
197009,67.8
197010,56.1
197011,45.4
197012,33.1
197101,25.3
197102,32.1
197103,37.8
197104,47.7
197105,57.2
197106,70
197107,72.9
197108,71.3
197109,67.9
197110,59.8
197111,42.6
197112,38.9
197201,32.4
197202,29.1
197203,37.8
197204,46.7
197205,59.7
197206,65.7
197207,74.3
197208,71.6
197209,65.9
197210,49.7
197211,41.2
197212,37.5
197301,32.6
197302,30.5
197303,44.7
197304,51
197305,57.3
197306,71.5
197307,74.5
197308,74.4
197309,66.5
197310,56.1
197311,45.3
197312,36.6
197401,33.5
197402,29.9
197403,41
197404,52.5
197405,59.2
197406,66.6
197407,73.6
197408,72.6
197409,64.4
197410,50.5
197411,44.7
197412,36.6
197501,34.5
197502,33.5
197503,38.3
197504,45.3
197505,63.1
197506,69.1
197507,73.5
197508,73
197509,62.2
197510,57.6
197511,48.9
197512,34.4
197601,26
197602,37.7
197603,43.2
197604,52.8
197605,59
197606,71.4
197607,71.8
197608,71.3
197609,63.7
197610,50
197611,38.3
197612,28
197701,19.4
197702,31.5
197703,45
197704,52.2
197705,62.3
197706,67
197707,74.6
197708,72.8
197709,66.6
197710,52.4
197711,45.9
197712,32.1
197801,26.5
197802,22.5
197803,36.4
197804,48.8
197805,57.8
197806,68.4
197807,71.6
197808,74
197809,63.4
